ID,Refs checked
xray,yes
unearthing,yes
zhuk2011,no
troitsky2020b,yes
troitsky2019,yes
troitsky2020a,yes
lashcheva2019,no
nicolov2016a,no
nicolov2016b,no
whalen2015,no
tite2007,no
kveberg2012,no
raspopina2016,no
kan2014,no
fedorova2017,no
schreck2014,no
bennetts2014,no
yoffe2005,no
sosin1975,no
mcmichael2008a,no
gololobov2015,no
glossop1998,no
friedman1999,no
pilkington2014,no
pilkington2016,no
vonfaust2014,no
zaporozhets2020,no
yoffe2020,yes
yoffe2013,no
wickstrom2009,no
vonfaust2016,no
trotter2019,no
steinholt2012,no
steinholt2003,no
six2008,no
rogatchevski2016,no
rayport1995,yes
ramet1990,no
pond1987,no
mcmichael2009,no
mcmichael2008b,no
mcmichael2005,yes
glossop1991,no
macfadyen2010,no
furst2014,no
dobrotvorskaja1992,yes
daughtry2009,no
amico2014,yes
zaitsev1990,no
risch2015,no
ramet1994,no
gololobov2016,no
furst2017,no
bluml2019,no
zhuk2010,no
woodhead2013,no
wickstrom2011,no
tsipursky2016,no
troitsky1990,no
troitsky1987,no
stites1992,no
stingray2020,no
steinholt2005,no
ryback1990,no
pierobon2014,no
pelyushonok2004,no
macfadyen2001,no
cushman1995,no
christgau,no
easton1989,no
cushman1991,no
grabarchuk2015,no
cornish2020,no
bohlen1993,no
anderson2006,no
herbert2019,no
coates2015,no
coates2019,no